[thewall.game.TheWall] [19:14:19] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:20] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:21] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:22] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:23] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:24] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:25] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:26] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:27] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:28] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:29] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:30] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:31] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:32] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:33] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:34] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:35] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:36] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:37] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:38] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:39] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:40] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:41] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:42] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:43] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:44] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:45] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:46] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:47] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:48] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
[thewall.game.TheWall] [19:14:49] TwLight Main Thread/INFO ] - X:275.0 Y:25.0 Z:600.0
